#;CAMINHO NO XML;CAMPO;"REGRAS DE NEG‡CIO PARA A NOTA FISCAL DE SERVIÄO ELETR‚NICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"N÷VEL
DA REGRA";"EMISSORES PÈBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÄÂES DE NEG‡CIO;;;
57;NFSe/infNFSe/valores/;vTotalRet;"O valor total da retená∆o da NFS-e n∆o pode ser inferior a zero.

O valor total da retená∆o da NFS-e Ç calculado a partir de valores que constam na DPS atravÇs do seguinte c†lculo:

Valor total de retená‰es (R$) = ?(vRetCP + vRetIRRF+ vRetCSLL + ISSQN*)

vTotalRet = vRetCP + vRetIRRF + vRetCSLL + vISSQN*";;Obrig.;Rej.;E1506;O valor total de tributos retidos da NFS-e n∆o pode ser inferior a zero.;1;V;X;V;X;-;;;
58;NFSe/infNFSe/valores/;vLiq;"O valor l°quido da NFS-e n∆o pode ser inferior a zero.

O valor l°quido da NFS-e Ç calculado a partir de valores que constam na DPS atravÇs do seguinte c†lculo:

Valor l°quido (R$) = Valor do serviáo - Desconto condicionado - Desconto incondicionado - Valores retidos 
 
 VLiq = vServ ? vDescIncond ? vDescCond ? vTotalRet";;Obrig.;Rej.;E1508;O valor l°quido da NFS-e n∆o pode ser inferior a zero.;1;V;X;V;X;-;;;
59;NFSe/infNFSe/;xOutInf;-;;-;-;-;-;-;-;-;-;-;-;;;
60;NFSe/infNFSe/;IBSCBS;"Se o grupo de informaá‰es de IBS/CBS da DPS (NFSe/infNFSe/DPS/infDPS/IBSCBS/) for informado, 
ent∆o o grupo de informaá‰es de IBS/CBS da NFS-e deve ser informado obrigatoriamente.";;Obrig.;Rej.;E1515;ê obrigat¢rio informar o grupo de informaá‰es de IBS/CBS da NFS-e quando o grupo de informaá‰es de IBS/CBS da DPS for informado.;1;V;V;V;V;-;;;
61;;;"Se o grupo de informaá‰es de IBS/CBS da DPS (NFSe/infNFSe/DPS/infDPS/IBSCBS/) n∆o for informado, 
ent∆o n∆o Ç permitido informar o grupo de informaá‰es de IBS/CBS da NFS-e.";;Obrig.;Rej.;E1517;N∆o Ç permitido informar o grupo de informaá‰es de IBS/CBS da NFS-e quando o grupo de informaá‰es de IBS/CBS da DPS n∆o for informado.;1;V;V;V;V;-;;;
61;NFSe/infNFSe/IBSCBS/;cLocalidadeIncid;"O c¢digo da localidade de incidància informado deve estar de acordo com o c¢digo de indicador da operaá∆o. A tabela de indicadores das operaá‰es deve ser observada. (Anexo B). Para os casos de endereáo no exterior, deve ser igual a ""999999""";;Obrig.;Rej.;E1521;C¢digo da localidade de incidància diverge do que deveria ser informado de acordo com a tabela de indicador da operaá∆o.;1;V;V;V;V;-;;;
62;NFSe/infNFSe/IBSCBS/;xLocalidadeIncid;-;;-;-;-;-;1;;;;;-;;;
63;NFSe/infNFSe/IBSCBS/;pRedutor;O percentual redutor para compras governamentais s¢ deve ser informando se tpEnteGov foi informado na DPS.;;Obrig.;Rej.;E1522;O percentual redutor para compras governamentais (IBS/CBS) n∆o deve ser informado.;1;V;V;V;V;-;;;
65;;;O percentual redutor para compras governamentais deve ser informado se tpEnteGov foi informado na DPS.;;Obrig.;Rej.;E1523;O percentual redutor para compras governamentais (IBS/CBS) deve ser informado.;1;V;V;V;V;-;;;
66;NFSe/infNFSe/IBSCBS/;valores;-;;-;-;-;-;-;-;-;-;-;-;;;
